MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,538,Tools,Power Tools,Circular Saws,1516338,PT2-1533,PT2-1533 7.25 IN CIRC SAW 15A CORDED,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Makita U.S.A. Inc,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,PT2-1533,,Tools & Power Tools & Circular Saws,"UNRESOLVED — needs manual review, Circular Saws, PT2-1533",CIRCULAR SAWS PT2-1533 15 A AMPERAGE 7.2,UNRESOLVED — needs manual review PT2-1533 Circular Saws,"UNRESOLVED — needs manual review Circular Saws, PT2-1533, 15 A Amperage, 7.25 in Blade Diameter, Circular Saw, Corded",Circular Saws,,,,,,,,,,,,,,,,,,,,,,,,,,,Circular Saws,Amperage,15,A,Blade Diameter,7.25,in,Tool Type,Circular Saw,,Power Source,Corded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,539,Fasteners,Structural Fasteners,Joist Hangers,1516339,FAS2-1319,FAS2-1319 JOIST HANGER ZMAX,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Simpson Strong Tie Co,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,FAS2-1319,,Fasteners & Structural Fasteners & Joist Hangers,"UNRESOLVED — needs manual review, Joist Hangers, FAS2-1319",JOIST HANGERS FAS2-1319 JOIST HANGER PRO,UNRESOLVED — needs manual review FAS2-1319 Joist Hangers,"UNRESOLVED — needs manual review Joist Hangers, FAS2-1319, Joist Hanger, ZMAX",Joist Hangers,,,,,,,,,,,,,,,,,,,,,,,,,,,Joist Hangers,Product Type,Joist Hanger,,Finish / Coating,ZMAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,540,Appliances,Large Appliances,Refrigerators,1516340,RF-1523,RF-1523 FRENCH DOOR REFRIGERATOR 24 CU FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,LG Electronics,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,RF-1523,,Appliances & Large Appliances & Refrigerators,"UNRESOLVED — needs manual review, Refrigerators, RF-1523",REFRIGERATORS RF-1523 FRENCH DOOR CONFIG,UNRESOLVED — needs manual review RF-1523 Refrigerators,"UNRESOLVED — needs manual review Refrigerators, RF-1523, French Door, 24 cu ft Capacity",Refrigerators,,,,,,,,,,,,,,,,,,,,,,,,,,,Refrigerators,Configuration,French Door,,Capacity,24,cu ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,541,Appliances,Large Appliances,Dishwashers,1516341,DW-1915,DW-1915 TOP CONTROL DISHWASHER 45 dBA BLACK STAINLESS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Bosch,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,DW-1915,,Appliances & Large Appliances & Dishwashers,"UNRESOLVED — needs manual review, Dishwasher, DW-1915, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 15A 45DBA,"UNRESOLVED — needs manual review® DW-1915 Dishwasher, Built-in Mounting, Stainless Steel, Black Stainless","UNRESOLVED — needs manual review® Dishwasher, 120 V, 15 A, Built-in Mounting, 45 dBA Sound Level, Stainless Steel, Black Stainless, Additional Information: Top control dishwasher, 45 dBA sound level","Dishwasher, Built-in Mounting, Stainless Steel, Black Stainless",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,45,dBA,Material,Stainless Steel,,Color,Black Stainless,,Additional Information,"Top control dishwasher, 45 dBA sound level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,542,Safety,Personal Protective Equipment,Disposable Gloves,1516342,SF2-1218,SF2-1218 NITRILE GLOVE PF SM 100CT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Ansell,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,SF2-1218,,Safety & Personal Protective Equipment & Disposable Gloves,"UNRESOLVED — needs manual review, Disposable Gloves, SF2-1218Small",DISPOSABLE GLOV SF2-1218 NITRILE MATERIA,"UNRESOLVED — needs manual review SF2-1218 Disposable Gloves, Nitrile, Small","UNRESOLVED — needs manual review Disposable Gloves, SF2-1218, Nitrile, Powder-Free, Small, 100 ct Quantity","Disposable Gloves, Nitrile, Small",,,,,,,,,,,,,,,,,,,,,,,,,,,Disposable Gloves,Material,Nitrile,,Features,Powder-Free,,Size,Small,,Quantity,100,ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,543,Appliances,Small Appliances,Microwaves,1516343,MW-1290,MW-1290 COUNTERTOP MICROWAVE 1060W,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Panasonic Corp,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,MW-1290,,Appliances & Small Appliances & Microwaves,"UNRESOLVED — needs manual review, Microwaves, MW-1290",MICROWAVES MW-1290 1060 W WATTAGE COUNTE,"UNRESOLVED — needs manual review MW-1290 Microwaves, 1060","UNRESOLVED — needs manual review Microwaves, MW-1290, 1060 W Wattage, Countertop",Microwaves,,,,,,,,,,,,,,,,,,,,,,,,,,,Microwaves,Wattage,1060,W,Mounting Type,Countertop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,544,Janitorial,Cleaning Tools,Mops,1516344,JN-1568,"JN-1568 24"" MICROFIBER FLAT MOP",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Rubbermaid,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,JN-1568,,Janitorial & Cleaning Tools & Mops,"UNRESOLVED — needs manual review, Mops, JN-156824",MOPS JN-1568 24 IN SIZE MICROFIBER FLAT,"UNRESOLVED — needs manual review JN-1568 Mops, 24","UNRESOLVED — needs manual review Mops, JN-1568, 24 in Size, Microfiber Flat Mop","Mops, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,Mops,Size,24,in,Mop Type,Microfiber Flat Mop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,545,Tools,Power Tools,Impact Wrenches,1516345,TOOL2-1129,TOOL2-1129 M12 IMPACT WRENCH KIT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Electric Tool,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,TOOL2-1129,,Tools & Power Tools & Impact Wrenches,"UNRESOLVED — needs manual review, Impact Wrenches, TOOL2-1129",IMPACT WRENCHES TOOL2-1129 M12 PLATFORM,UNRESOLVED — needs manual review TOOL2-1129 Impact Wrenches,"UNRESOLVED — needs manual review Impact Wrenches, TOOL2-1129, M12, Impact Wrench Kit",Impact Wrenches,,,,,,,,,,,,,,,,,,,,,,,,,,,Impact Wrenches,Platform,M12,,Tool Type,Impact Wrench Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,546,Hardware,Building Materials,Plywood & Panels,1516346,BM-1733,BM-1733 3/4IN OSB SUBFLR 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Georgia-Pacific,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,BM-1733,,Hardware & Building Materials & Plywood & Panels,"UNRESOLVED — needs manual review, Plywood & Panels, BM-1733",PLYWOOD & PANEL BM-1733 3/4 IN THICKNESS,UNRESOLVED — needs manual review BM-1733 Plywood & Panels,"UNRESOLVED — needs manual review Plywood & Panels, BM-1733, 3/4 in Thickness, OSB, Subfloor, 4 ft Width, 8 ft Length",Plywood & Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,Plywood & Panels,Thickness,3/4,in,Material Type,OSB,,Application,Subfloor,,Width,4,ft,Length,8,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,547,HVAC,Thermostats,Digital Thermostats,1516347,HV-1615,HV-1615 PROGRAMMABLE THERMOSTAT 7-DAY DIGITAL,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Honeywell Inc,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,HV-1615,,HVAC & Thermostats & Digital Thermostats,"UNRESOLVED — needs manual review, Digital Thermostats, HV-1615",DIGITAL THERMOS HV-1615 7-DAY PROGRAMMIN,UNRESOLVED — needs manual review HV-1615 Digital Thermostats,"UNRESOLVED — needs manual review Digital Thermostats, HV-1615, 7-Day, Digital",Digital Thermostats,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Thermostats,Programming,7-Day,,Type,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,548,Hardware,Building Materials,Plywood & Panels,1516348,BM-1571,BM-1571 5/8IN OSB SHEATHING 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,GP,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,BM-1571,,Hardware & Building Materials & Plywood & Panels,"UNRESOLVED — needs manual review, Plywood & Panels, BM-1571",PLYWOOD & PANEL BM-1571 5/8 IN THICKNESS,UNRESOLVED — needs manual review BM-1571 Plywood & Panels,"UNRESOLVED — needs manual review Plywood & Panels, BM-1571, 5/8 in Thickness, OSB, Sheathing, 4 ft Width, 8 ft Length",Plywood & Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,Plywood & Panels,Thickness,5/8,in,Material Type,OSB,,Application,Sheathing,,Width,4,ft,Length,8,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,549,Appliances,Large Appliances,Refrigerators,1516349,RF-1579,RF-1579 FRENCH DOOR REFRIGERATOR 26 CU FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Samsung Electronics,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,RF-1579,,Appliances & Large Appliances & Refrigerators,"UNRESOLVED — needs manual review, Refrigerators, RF-1579",REFRIGERATORS RF-1579 FRENCH DOOR STYLE,UNRESOLVED — needs manual review RF-1579 Refrigerators,"UNRESOLVED — needs manual review Refrigerators, RF-1579, French Door, 26 cu ft Capacity",Refrigerators,,,,,,,,,,,,,,,,,,,,,,,,,,,Refrigerators,Style,French Door,,Capacity,26,cu ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,550,Adhesives,Epoxy,Cartridge Epoxy,1516350,ADH-1841,ADH-1841 EPOXY 3OZ CARTRIDGE,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Henkel Corporation,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,ADH-1841,,Adhesives & Epoxy & Cartridge Epoxy,"UNRESOLVED — needs manual review, Cartridge Epoxy, ADH-18413",CARTRIDGE EPOXY ADH-1841 3 OZ SIZE CARTR,"UNRESOLVED — needs manual review ADH-1841 Cartridge Epoxy, 3","UNRESOLVED — needs manual review Cartridge Epoxy, ADH-1841, 3 oz Size, Cartridge Epoxy","Cartridge Epoxy, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,Cartridge Epoxy,Size,3,oz,Type,Cartridge Epoxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,551,Automotive,Batteries,Automotive Batteries,1516351,AU-1202,AU-1202 12V AGM BATTERY GRP 35 757CCA,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Interstate Battery Sys,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,AU-1202,,Automotive & Batteries & Automotive Batteries,"UNRESOLVED — needs manual review, Automotive Batteries, AU-1202",AUTOMOTIVE BATT AU-1202 12 V VOLTAGE AGM,"UNRESOLVED — needs manual review AU-1202 Automotive Batteries, 12","UNRESOLVED — needs manual review Automotive Batteries, AU-1202, 12 V Voltage, AGM, 35, 757 CCA Cold Cranking Amps",Automotive Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,Automotive Batteries,Voltage,12,V,Battery Type,AGM,,Group Size,35,,Cold Cranking Amps,757,CCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,552,HVAC,Air Filters,Pleated Air Filters,1516352,HV-1812,HV-1812 20X30X1 MERV11 PLEATED FILTR,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Honeywell Intl,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,HV-1812,,HVAC & Air Filters & Pleated Air Filters,"UNRESOLVED — needs manual review, Pleated Air Filters, HV-181220",PLEATED AIR FIL HV-1812 20 SIZE 20 IN WI,"UNRESOLVED — needs manual review HV-1812 Pleated Air Filters, 20","UNRESOLVED — needs manual review Pleated Air Filters, HV-1812, 20, 20 in Width, 30 in Length, 1 in Thickness, 11","Pleated Air Filters, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,Pleated Air Filters,Size,20,,Width,20,in,Length,30,in,Thickness,1,in,MERV Rating,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,553,Electrical,Wire & Cable,Data Cable,1516353,CBL-1353,CBL-1353 CAT6.5 CABLE 100FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Belden,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,CBL-1353,,Electrical & Wire & Cable & Data Cable,"UNRESOLVED — needs manual review, Data Cable, CBL-1353",DATA CABLE CBL-1353 100 FT LENGTH 100 BE,UNRESOLVED — needs manual review CBL-1353 Data Cable,"UNRESOLVED — needs manual review Data Cable, CBL-1353, 100 ft Length, 100, CAT6.5",Data Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Cable,Length,100,ft,Beam Distance,100,,Cable Type,CAT6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,554,Hardware,Building Materials,Plywood & Panels,1516354,BM-1621,BM-1621 3/4IN OSB SHEATHING 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Georgia Pacific Corp,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,BM-1621,,Hardware & Building Materials & Plywood & Panels,"UNRESOLVED — needs manual review, Plywood & Panels, BM-1621",PLYWOOD & PANEL BM-1621 3/4 IN THICKNESS,UNRESOLVED — needs manual review BM-1621 Plywood & Panels,"UNRESOLVED — needs manual review Plywood & Panels, BM-1621, 3/4 in Thickness, OSB, Sheathing, 4 ft Width, 8 ft Length",Plywood & Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,Plywood & Panels,Thickness,3/4,in,Material Type,OSB,,Application,Sheathing,,Width,4,ft,Length,8,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,555,Tools,Power Tools,Circular Saws,1516355,PT2-1634,PT2-1634 10-IN CIRC SAW 15A CORDED,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Makita,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,PT2-1634,,Tools & Power Tools & Circular Saws,"UNRESOLVED — needs manual review, Circular Saws, PT2-1634",CIRCULAR SAWS PT2-1634 15 A AMPERAGE 10,UNRESOLVED — needs manual review PT2-1634 Circular Saws,"UNRESOLVED — needs manual review Circular Saws, PT2-1634, 15 A Amperage, 10 in Blade Size, Corded",Circular Saws,,,,,,,,,,,,,,,,,,,,,,,,,,,Circular Saws,Amperage,15,A,Blade Size,10,in,Power Source,Corded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
